"Step","train/loss","./SMOL_DPO_ALPHA_DIVERGENCE - train/loss__MIN","./SMOL_DPO_ALPHA_DIVERGENCE - train/loss__MAX"
"733","0.5524","0.5524","0.5524"
"734","0.6411","0.6411","0.6411"
"735","0.5603","0.5603","0.5603"
"736","0.6932","0.6932","0.6932"
"737","0.7446","0.7446","0.7446"
"738","0.4944","0.4944","0.4944"
"739","0.7371","0.7371","0.7371"
"740","0.6207","0.6207","0.6207"
"741","0.3115","0.3115","0.3115"
"742","0.7562","0.7562","0.7562"
"743","0.7023","0.7023","0.7023"
"744","0.5846","0.5846","0.5846"
"745","0.7718","0.7718","0.7718"
"746","0.4563","0.4563","0.4563"
"747","0.7838","0.7838","0.7838"
"748","0.4636","0.4636","0.4636"
"749","0.6308","0.6308","0.6308"
"750","0.5218","0.5218","0.5218"
"751","0.8628","0.8628","0.8628"
"752","0.5187","0.5187","0.5187"
"753","0.5698","0.5698","0.5698"
"754","0.6112","0.6112","0.6112"
"755","0.6565","0.6565","0.6565"
"756","0.817","0.817","0.817"
"757","0.5242","0.5242","0.5242"
"758","0.7354","0.7354","0.7354"
"759","0.4895","0.4895","0.4895"
"760","0.5913","0.5913","0.5913"
"761","0.6547","0.6547","0.6547"
"762","0.6388","0.6388","0.6388"
"763","0.4686","0.4686","0.4686"
"764","0.6832","0.6832","0.6832"
"765","0.9313","0.9313","0.9313"
"766","0.5757","0.5757","0.5757"
"767","0.5213","0.5213","0.5213"
"768","0.6043","0.6043","0.6043"
"769","0.7579","0.7579","0.7579"
"770","0.631","0.631","0.631"
"771","0.8141","0.8141","0.8141"
"772","0.41","0.41","0.41"
"773","0.5439","0.5439","0.5439"
"774","0.7874","0.7874","0.7874"
"775","0.7023","0.7023","0.7023"
"776","0.6126","0.6126","0.6126"
"777","0.7822","0.7822","0.7822"
"778","0.4972","0.4972","0.4972"
"779","0.6519","0.6519","0.6519"
"780","0.3704","0.3704","0.3704"
"781","0.6106","0.6106","0.6106"
"782","0.5562","0.5562","0.5562"
"783","0.4898","0.4898","0.4898"
"784","0.6097","0.6097","0.6097"
"785","0.5129","0.5129","0.5129"
"786","0.8004","0.8004","0.8004"
"787","0.5273","0.5273","0.5273"
"788","0.6402","0.6402","0.6402"
"789","0.7731","0.7731","0.7731"
"790","0.5557","0.5557","0.5557"
"791","0.7255","0.7255","0.7255"
"792","0.5743","0.5743","0.5743"
"793","0.7992","0.7992","0.7992"
"794","0.7354","0.7354","0.7354"
"795","0.5839","0.5839","0.5839"
"796","0.7089","0.7089","0.7089"
"797","0.6653","0.6653","0.6653"
"798","0.789","0.789","0.789"
"799","0.7513","0.7513","0.7513"
"800","0.632","0.632","0.632"
"801","0.6411","0.6411","0.6411"
"802","0.6309","0.6309","0.6309"
"804","0.6931","0.6931","0.6931"
"805","3.7065","3.7065","3.7065"
"806","1.3988","1.3988","1.3988"
"807","2.3648","2.3648","2.3648"
"808","3.1767","3.1767","3.1767"
"809","2.3594","2.3594","2.3594"
"810","2.2235","2.2235","2.2235"
"811","4.6519","4.6519","4.6519"
"812","2.4776","2.4776","2.4776"
"813","4.7864","4.7864","4.7864"
"814","3.432","3.432","3.432"
"815","5.2719","5.2719","5.2719"
"816","3.4286","3.4286","3.4286"
"817","3.1013","3.1013","3.1013"
"818","2.1786","2.1786","2.1786"
"819","10.2527","10.2527","10.2527"
"820","10.0687","10.0687","10.0687"
"821","4.2819","4.2819","4.2819"
"822","4.1255","4.1255","4.1255"
"823","2.0735","2.0735","2.0735"
"824","7.3057","7.3057","7.3057"
"825","6.7731","6.7731","6.7731"
"826","4.7465","4.7465","4.7465"
"827","7.62","7.62","7.62"
"828","5.9166","5.9166","5.9166"
"829","1.4182","1.4182","1.4182"
"830","5.721","5.721","5.721"
"831","4.0623","4.0623","4.0623"
"832","7.15","7.15","7.15"
"833","4.3557","4.3557","4.3557"
"834","11.0933","11.0933","11.0933"
"835","2.2821","2.2821","2.2821"
"836","9.2356","9.2356","9.2356"
"837","5.9764","5.9764","5.9764"
"838","6.0827","6.0827","6.0827"
"839","5.0355","5.0355","5.0355"
"840","4.4656","4.4656","4.4656"
"841","6.7025","6.7025","6.7025"
"842","13.1083","13.1083","13.1083"
"843","8.3558","8.3558","8.3558"
"844","11.0898","11.0898","11.0898"
"845","19.7593","19.7593","19.7593"
"846","13.8773","13.8773","13.8773"
"847","8.1995","8.1995","8.1995"
"848","10.0671","10.0671","10.0671"
"849","7.8895","7.8895","7.8895"
"850","8.5827","8.5827","8.5827"
"851","2.4926","2.4926","2.4926"
"852","6.2844","6.2844","6.2844"
"853","4.4704","4.4704","4.4704"
"854","5.55","5.55","5.55"
"855","14.1917","14.1917","14.1917"
"856","8.1643","8.1643","8.1643"
"857","9.8465","9.8465","9.8465"
"858","15.2583","15.2583","15.2583"
"859","5.1512","5.1512","5.1512"
"860","6.755","6.755","6.755"
"861","7.3105","7.3105","7.3105"
"862","8.9552","8.9552","8.9552"
"863","7.5788","7.5788","7.5788"
"864","7.3646","7.3646","7.3646"
"865","9.9416","9.9416","9.9416"
"866","9.798","9.798","9.798"
"867","9.6664","9.6664","9.6664"
"868","8.4299","8.4299","8.4299"
"869","7.681","7.681","7.681"
"870","10.0229","10.0229","10.0229"
"871","13.9122","13.9122","13.9122"
"872","12.308","12.308","12.308"
"873","8.9728","8.9728","8.9728"
"874","9.5994","9.5994","9.5994"
"875","9.1958","9.1958","9.1958"
"876","3.779","3.779","3.779"
"877","13.5696","13.5696","13.5696"
"878","15.4016","15.4016","15.4016"
"879","1.3117","1.3117","1.3117"
"880","1.2014","1.2014","1.2014"
"881","15.3909","15.3909","15.3909"
"882","4.9786","4.9786","4.9786"
"883","16.1404","16.1404","16.1404"
"884","14.9708","14.9708","14.9708"
"885","12.9603","12.9603","12.9603"
"886","19.9011","19.9011","19.9011"
"887","8.4334","8.4334","8.4334"
"888","15.1463","15.1463","15.1463"
"889","13.5082","13.5082","13.5082"
"890","7.1279","7.1279","7.1279"
"891","14.4001","14.4001","14.4001"
"892","6.3967","6.3967","6.3967"
"893","9.2161","9.2161","9.2161"
"894","8.0365","8.0365","8.0365"
"895","13.0961","13.0961","13.0961"
"896","9.0519","9.0519","9.0519"
"897","7.0981","7.0981","7.0981"
"898","7.6395","7.6395","7.6395"
"899","8.8463","8.8463","8.8463"
"900","14.9606","14.9606","14.9606"
"901","6.1576","6.1576","6.1576"
"902","14.5382","14.5382","14.5382"
"903","5.073","5.073","5.073"
"904","4.3804","4.3804","4.3804"
"905","10.1656","10.1656","10.1656"
"906","4.3284","4.3284","4.3284"
"907","12.537","12.537","12.537"
"908","16.4921","16.4921","16.4921"
"909","8.0463","8.0463","8.0463"
"910","7.7279","7.7279","7.7279"
"911","13.6449","13.6449","13.6449"
"912","13.3166","13.3166","13.3166"
"913","6.9737","6.9737","6.9737"
"914","16.6927","16.6927","16.6927"
"915","11.8844","11.8844","11.8844"
"916","8.284","8.284","8.284"
"917","12.1297","12.1297","12.1297"
"918","6.8171","6.8171","6.8171"
"919","8.8562","8.8562","8.8562"
"920","9.8718","9.8718","9.8718"
"921","6.9665","6.9665","6.9665"
"922","16.5882","16.5882","16.5882"
"923","12.5574","12.5574","12.5574"
"924","10.2183","10.2183","10.2183"
"925","4.0829","4.0829","4.0829"
"926","8.2857","8.2857","8.2857"
"927","5.7351","5.7351","5.7351"
"928","3.3742","3.3742","3.3742"
"929","3.6191","3.6191","3.6191"
"930","6.1311","6.1311","6.1311"
"931","9.0246","9.0246","9.0246"
"932","16.6368","16.6368","16.6368"
"933","6.8122","6.8122","6.8122"
"934","5.4237","5.4237","5.4237"
"935","6.7985","6.7985","6.7985"
"936","11.2995","11.2995","11.2995"
"937","10.1524","10.1524","10.1524"
"938","13.8866","13.8866","13.8866"
"939","5.5797","5.5797","5.5797"
"940","16.9112","16.9112","16.9112"
"941","6.8986","6.8986","6.8986"
"942","2.0272","2.0272","2.0272"
"943","14.4444","14.4444","14.4444"
"944","5.6721","5.6721","5.6721"
"945","7.3113","7.3113","7.3113"
"946","8.6569","8.6569","8.6569"
"947","2.7009","2.7009","2.7009"
"948","6.1434","6.1434","6.1434"
"949","5.4917","5.4917","5.4917"
"950","9.7037","9.7037","9.7037"
"951","4.7743","4.7743","4.7743"
"952","12.9507","12.9507","12.9507"
"953","4.2203","4.2203","4.2203"
"954","3.5943","3.5943","3.5943"
"955","4.136","4.136","4.136"
"956","7.7988","7.7988","7.7988"
"957","7.994","7.994","7.994"
"958","10.2436","10.2436","10.2436"
"959","8.5085","8.5085","8.5085"
"960","8.0965","8.0965","8.0965"
"961","5.6554","5.6554","5.6554"
"962","8.9927","8.9927","8.9927"
"963","4.7284","4.7284","4.7284"
"964","1.8513","1.8513","1.8513"
"965","12.2692","12.2692","12.2692"
"966","10.7614","10.7614","10.7614"
"967","7.9408","7.9408","7.9408"
"968","4.1619","4.1619","4.1619"
"969","9.4497","9.4497","9.4497"
"970","10.4126","10.4126","10.4126"
"971","10.4251","10.4251","10.4251"
"972","7.8718","7.8718","7.8718"
"973","4.7106","4.7106","4.7106"
"974","5.2883","5.2883","5.2883"
"975","16.2176","16.2176","16.2176"
"976","9.6203","9.6203","9.6203"
"977","9.9138","9.9138","9.9138"
"978","11.2928","11.2928","11.2928"
"979","8.016","8.016","8.016"
"980","5.043","5.043","5.043"
"981","1.0028","1.0028","1.0028"
"982","0.3705","0.3705","0.3705"
"983","5.2984","5.2984","5.2984"
"984","3.5006","3.5006","3.5006"
"985","5.0128","5.0128","5.0128"
"986","3.9164","3.9164","3.9164"
"987","11.2248","11.2248","11.2248"
"988","4.5719","4.5719","4.5719"
"989","14.4571","14.4571","14.4571"
"990","13.7256","13.7256","13.7256"
"991","3.5403","3.5403","3.5403"
"992","12.068","12.068","12.068"
"993","6.9738","6.9738","6.9738"
"994","12.3967","12.3967","12.3967"
"995","6.8174","6.8174","6.8174"
"996","3.4741","3.4741","3.4741"
"997","8.1371","8.1371","8.1371"
"998","8.6475","8.6475","8.6475"
"999","12.4698","12.4698","12.4698"
"1000","13.9228","13.9228","13.9228"
"1001","9.3503","9.3503","9.3503"
"1002","8.9538","8.9538","8.9538"
"1003","4.3657","4.3657","4.3657"
"1005","0.6931","0.6931","0.6931"
"1006","0.8135","0.8135","0.8135"
"1007","0.7257","0.7257","0.7257"
"1008","0.7276","0.7276","0.7276"
"1009","0.7782","0.7782","0.7782"
"1010","0.6538","0.6538","0.6538"
"1011","0.6006","0.6006","0.6006"
"1012","36.2001","36.2001","36.2001"
"1013","5.6985","5.6985","5.6985"
"1014","3.3048","3.3048","3.3048"
"1015","1.336","1.336","1.336"
"1016","13.2979","13.2979","13.2979"
"1017","2.2317","2.2317","2.2317"
"1018","18.4757","18.4757","18.4757"
"1019","2.3211","2.3211","2.3211"
"1020","10.128","10.128","10.128"
"1021","1.3805","1.3805","1.3805"
"1022","1.957","1.957","1.957"
"1023","1.3316","1.3316","1.3316"
"1024","0.7093","0.7093","0.7093"
"1025","0.6453","0.6453","0.6453"
"1026","29.904","29.904","29.904"
"1027","0.6457","0.6457","0.6457"
"1028","0.6248","0.6248","0.6248"
"1029","3.6778","3.6778","3.6778"
"1030","0.8549","0.8549","0.8549"
"1031","0.7175","0.7175","0.7175"
"1032","0.6695","0.6695","0.6695"
"1033","0.4784","0.4784","0.4784"
"1034","0.7187","0.7187","0.7187"
"1035","9.5166","9.5166","9.5166"
"1036","1.6778","1.6778","1.6778"
"1037","1.6589","1.6589","1.6589"
"1038","1.5553","1.5553","1.5553"
"1039","2.2839","2.2839","2.2839"
"1040","9.2039","9.2039","9.2039"
"1041","0.5442","0.5442","0.5442"
"1042","2.4255","2.4255","2.4255"
"1043","13.8843","13.8843","13.8843"
"1044","8.846","8.846","8.846"
"1045","24904.2383","24904.2383","24904.2383"
"1046","0.8952","0.8952","0.8952"
"1047","224.1845","224.1845","224.1845"
"1048","1.7963","1.7963","1.7963"
"1049","1.499","1.499","1.499"
"1050","0.8829","0.8829","0.8829"
"1051","334.7232","334.7232","334.7232"
"1052","0.4883","0.4883","0.4883"
"1053","2.0044","2.0044","2.0044"
"1054","0.9505","0.9505","0.9505"
"1055","120.3901","120.3901","120.3901"
"1056","51.3922","51.3922","51.3922"
"1057","0.6361","0.6361","0.6361"
"1058","13.7177","13.7177","13.7177"
"1059","8565.3477","8565.3477","8565.3477"
"1060","0.6742","0.6742","0.6742"
"1061","0.7372","0.7372","0.7372"
"1062","1.292","1.292","1.292"
"1063","0.7315","0.7315","0.7315"
"1064","0.8495","0.8495","0.8495"
"1065","0.6032","0.6032","0.6032"
"1066","1.6869","1.6869","1.6869"
"1067","3.3331","3.3331","3.3331"
"1068","3968.7876","3968.7876","3968.7876"
"1069","0.6175","0.6175","0.6175"
"1070","1.2959","1.2959","1.2959"
"1071","0.8135","0.8135","0.8135"
"1072","7.4441","7.4441","7.4441"
"1073","6.6395","6.6395","6.6395"
"1074","1.5083","1.5083","1.5083"
"1075","1.0788","1.0788","1.0788"
"1076","1068.7891","1068.7891","1068.7891"
"1077","76340.875","76340.875","76340.875"
"1078","65.6877","65.6877","65.6877"
"1079","1.1345","1.1345","1.1345"
"1080","356.4258","356.4258","356.4258"
"1081","0.7041","0.7041","0.7041"
"1082","306.5018","306.5018","306.5018"
"1083","85.5619","85.5619","85.5619"
"1084","0.8179","0.8179","0.8179"
"1085","17666.2188","17666.2188","17666.2188"
"1086","349.0502","349.0502","349.0502"
"1087","1.4604","1.4604","1.4604"
"1088","0.6739","0.6739","0.6739"
"1089","23.9548","23.9548","23.9548"
"1090","0.6372","0.6372","0.6372"
"1091","0.6421","0.6421","0.6421"
"1092","94.9879","94.9879","94.9879"
"1093","0.4896","0.4896","0.4896"
"1094","96.5025","96.5025","96.5025"
"1095","0.5609","0.5609","0.5609"
"1096","0.711","0.711","0.711"
"1097","40.4138","40.4138","40.4138"
"1098","3.9705","3.9705","3.9705"
"1099","3.5702","3.5702","3.5702"
"1100","7.3922","7.3922","7.3922"
"1101","6.8336","6.8336","6.8336"
"1102","7.4426","7.4426","7.4426"
"1103","0.5834","0.5834","0.5834"
"1104","0.5697","0.5697","0.5697"
"1105","144.9053","144.9053","144.9053"
"1106","144.22","144.22","144.22"
"1107","2.2401","2.2401","2.2401"
"1108","13.0457","13.0457","13.0457"
"1109","3951956.5","3951956.5","3951956.5"
"1110","107.5331","107.5331","107.5331"
"1111","1.1588","1.1588","1.1588"
"1112","1145.5126","1145.5126","1145.5126"
"1113","0.7783","0.7783","0.7783"
"1114","0.5929","0.5929","0.5929"
"1115","17.5557","17.5557","17.5557"
"1116","0.6465","0.6465","0.6465"
"1117","91.772","91.772","91.772"
"1118","20.0214","20.0214","20.0214"
"1119","1.1954","1.1954","1.1954"
"1120","0.6279","0.6279","0.6279"
"1121","1.3258","1.3258","1.3258"
"1122","0.6711","0.6711","0.6711"
"1123","3.5367","3.5367","3.5367"
"1124","442.8901","442.8901","442.8901"
"1125","0.7299","0.7299","0.7299"
"1126","3.5142","3.5142","3.5142"
"1127","0.5965","0.5965","0.5965"
"1128","0.8875","0.8875","0.8875"
"1129","0.7266","0.7266","0.7266"
"1130","0.6137","0.6137","0.6137"
"1131","0.6797","0.6797","0.6797"
"1132","1.9044","1.9044","1.9044"
"1133","450.5722","450.5722","450.5722"
"1134","0.9057","0.9057","0.9057"
"1135","0.5577","0.5577","0.5577"
"1136","1.1014","1.1014","1.1014"
"1137","9.0811","9.0811","9.0811"
"1138","0.6929","0.6929","0.6929"
"1139","174.9774","174.9774","174.9774"
"1140","2.8538","2.8538","2.8538"
"1141","1.5513","1.5513","1.5513"
"1142","4.0337","4.0337","4.0337"
"1143","0.5514","0.5514","0.5514"
"1144","0.8638","0.8638","0.8638"
"1145","1.0357","1.0357","1.0357"
"1146","0.6217","0.6217","0.6217"
"1147","6.4299","6.4299","6.4299"
"1148","0.8196","0.8196","0.8196"
"1149","31.2643","31.2643","31.2643"
"1150","0.6273","0.6273","0.6273"
"1151","0.7492","0.7492","0.7492"
"1152","0.7142","0.7142","0.7142"
"1153","3.0528","3.0528","3.0528"
"1154","0.5437","0.5437","0.5437"
"1155","0.6563","0.6563","0.6563"
"1156","0.9627","0.9627","0.9627"
"1157","265.9211","265.9211","265.9211"
"1158","0.5642","0.5642","0.5642"
"1159","0.7346","0.7346","0.7346"
"1160","5.518","5.518","5.518"
"1161","1.0998","1.0998","1.0998"
"1162","27.2772","27.2772","27.2772"
"1163","5.3803","5.3803","5.3803"
"1164","1.2698","1.2698","1.2698"
"1165","0.7628","0.7628","0.7628"
"1166","1.386","1.386","1.386"
"1167","0.9544","0.9544","0.9544"
"1168","8.6911","8.6911","8.6911"
"1169","0.5809","0.5809","0.5809"
"1170","8.3521","8.3521","8.3521"
"1171","11370.5996","11370.5996","11370.5996"
"1172","0.5791","0.5791","0.5791"
"1173","88.7495","88.7495","88.7495"
"1174","245638.0312","245638.0312","245638.0312"
"1175","298.1731","298.1731","298.1731"
"1176","0.6858","0.6858","0.6858"
"1177","20.8892","20.8892","20.8892"
"1178","11.3298","11.3298","11.3298"
"1179","63.7799","63.7799","63.7799"
"1180","0.6681","0.6681","0.6681"
"1181","3.7944","3.7944","3.7944"
"1182","0.9466","0.9466","0.9466"
"1183","0.8549","0.8549","0.8549"
"1184","0.8333","0.8333","0.8333"
"1185","0.6305","0.6305","0.6305"
"1186","0.6018","0.6018","0.6018"
"1187","1.6159","1.6159","1.6159"
"1188","14.7348","14.7348","14.7348"
"1189","1.2094","1.2094","1.2094"
"1190","37.5989","37.5989","37.5989"
"1191","0.8256","0.8256","0.8256"
"1192","275.1295","275.1295","275.1295"
"1193","0.9856","0.9856","0.9856"
"1194","0.6627","0.6627","0.6627"
"1195","5.7995","5.7995","5.7995"
"1196","0.4729","0.4729","0.4729"
"1197","1.9741","1.9741","1.9741"
"1198","1.6582","1.6582","1.6582"
"1199","20.0072","20.0072","20.0072"
"1200","1.2857","1.2857","1.2857"
"1201","439.6641","439.6641","439.6641"
"1202","1.5014","1.5014","1.5014"
"1203","0.9556","0.9556","0.9556"
"1204","0.6777","0.6777","0.6777"
"1206","0.6931","0.6931","0.6931"
"1207","0.7006","0.7006","0.7006"
"1208","0.6797","0.6797","0.6797"
"1209","0.6994","0.6994","0.6994"
"1210","0.6901","0.6901","0.6901"
"1211","0.6555","0.6555","0.6555"
"1212","0.63","0.63","0.63"
"1213","0.6956","0.6956","0.6956"
"1214","0.7123","0.7123","0.7123"
"1215","0.7012","0.7012","0.7012"
"1216","0.6174","0.6174","0.6174"
"1217","0.6463","0.6463","0.6463"
"1218","0.6689","0.6689","0.6689"
"1219","0.612","0.612","0.612"
"1220","0.6834","0.6834","0.6834"
"1221","0.7157","0.7157","0.7157"
"1222","0.7911","0.7911","0.7911"
"1223","0.6572","0.6572","0.6572"
"1224","0.6555","0.6555","0.6555"
"1225","0.534","0.534","0.534"
"1226","0.5825","0.5825","0.5825"
"1227","0.6082","0.6082","0.6082"
"1228","0.6824","0.6824","0.6824"
"1229","0.611","0.611","0.611"
"1230","0.6577","0.6577","0.6577"
"1231","0.4964","0.4964","0.4964"
"1232","0.6017","0.6017","0.6017"
"1233","0.5425","0.5425","0.5425"
"1234","0.573","0.573","0.573"
"1235","0.6345","0.6345","0.6345"
"1236","0.7371","0.7371","0.7371"
"1237","0.5257","0.5257","0.5257"
"1238","0.8264","0.8264","0.8264"
"1239","0.6607","0.6607","0.6607"
"1240","0.6774","0.6774","0.6774"
"1241","0.5716","0.5716","0.5716"
"1242","0.8649","0.8649","0.8649"
"1243","0.7108","0.7108","0.7108"
"1244","0.809","0.809","0.809"
"1245","0.8141","0.8141","0.8141"
"1246","0.6406","0.6406","0.6406"
"1247","0.9554","0.9554","0.9554"
"1248","0.5938","0.5938","0.5938"
"1249","0.8258","0.8258","0.8258"
"1250","0.6694","0.6694","0.6694"
"1251","0.7424","0.7424","0.7424"
"1252","0.721","0.721","0.721"
"1253","0.5654","0.5654","0.5654"
"1254","0.543","0.543","0.543"
"1255","0.7009","0.7009","0.7009"
"1256","0.566","0.566","0.566"
"1257","0.8429","0.8429","0.8429"
"1258","0.6772","0.6772","0.6772"
"1259","0.7178","0.7178","0.7178"
"1260","0.876","0.876","0.876"
"1261","0.7814","0.7814","0.7814"
"1262","0.525","0.525","0.525"
"1263","0.5184","0.5184","0.5184"
"1264","0.8578","0.8578","0.8578"
"1265","0.6162","0.6162","0.6162"
"1266","0.5558","0.5558","0.5558"
"1267","0.8398","0.8398","0.8398"
"1268","0.5658","0.5658","0.5658"
"1269","0.6041","0.6041","0.6041"
"1270","0.8332","0.8332","0.8332"
"1271","0.6109","0.6109","0.6109"
"1272","0.6075","0.6075","0.6075"
"1273","0.7708","0.7708","0.7708"
"1274","0.809","0.809","0.809"
"1275","0.6634","0.6634","0.6634"
"1276","0.6688","0.6688","0.6688"
"1277","0.7647","0.7647","0.7647"
"1278","0.595","0.595","0.595"
"1279","0.6681","0.6681","0.6681"
"1280","0.8179","0.8179","0.8179"
"1281","0.4863","0.4863","0.4863"
"1282","0.5495","0.5495","0.5495"
"1283","0.6121","0.6121","0.6121"
"1284","0.4098","0.4098","0.4098"
"1285","0.7667","0.7667","0.7667"
"1286","0.8274","0.8274","0.8274"
"1287","0.8774","0.8774","0.8774"
"1288","0.856","0.856","0.856"
"1289","0.6476","0.6476","0.6476"
"1290","0.5707","0.5707","0.5707"
"1291","0.7978","0.7978","0.7978"
"1292","0.4921","0.4921","0.4921"
"1293","0.7333","0.7333","0.7333"
"1294","0.6887","0.6887","0.6887"
"1295","0.6735","0.6735","0.6735"
"1296","0.685","0.685","0.685"
"1297","0.6714","0.6714","0.6714"
"1298","0.6695","0.6695","0.6695"
"1299","0.7714","0.7714","0.7714"
"1300","0.4966","0.4966","0.4966"
"1301","0.5463","0.5463","0.5463"
"1302","0.8113","0.8113","0.8113"
"1303","0.4762","0.4762","0.4762"
"1304","0.6126","0.6126","0.6126"
"1305","0.5305","0.5305","0.5305"
"1306","0.5576","0.5576","0.5576"
"1307","0.7121","0.7121","0.7121"
"1308","0.473","0.473","0.473"
"1309","0.7042","0.7042","0.7042"
"1310","0.8997","0.8997","0.8997"
"1311","0.6533","0.6533","0.6533"
"1312","0.4338","0.4338","0.4338"
"1313","0.6521","0.6521","0.6521"
"1314","0.6638","0.6638","0.6638"
"1315","0.4885","0.4885","0.4885"
"1316","0.7698","0.7698","0.7698"
"1317","0.7064","0.7064","0.7064"
"1318","0.5709","0.5709","0.5709"
"1319","0.6289","0.6289","0.6289"
"1320","0.5683","0.5683","0.5683"
"1321","0.6512","0.6512","0.6512"
"1322","0.7615","0.7615","0.7615"
"1323","0.5702","0.5702","0.5702"
"1324","0.6563","0.6563","0.6563"
"1325","0.7805","0.7805","0.7805"
"1326","0.6334","0.6334","0.6334"
"1327","0.6859","0.6859","0.6859"
"1328","0.6915","0.6915","0.6915"
"1329","0.5474","0.5474","0.5474"
"1330","0.5258","0.5258","0.5258"
"1331","0.5498","0.5498","0.5498"
"1332","0.6654","0.6654","0.6654"
"1333","0.7513","0.7513","0.7513"
"1334","0.7185","0.7185","0.7185"
"1335","0.6161","0.6161","0.6161"
"1336","0.5818","0.5818","0.5818"
"1337","0.6449","0.6449","0.6449"
"1338","0.5542","0.5542","0.5542"
"1339","0.6979","0.6979","0.6979"
"1340","0.7298","0.7298","0.7298"
"1341","0.4939","0.4939","0.4939"
"1342","0.725","0.725","0.725"
"1343","0.6181","0.6181","0.6181"
"1344","0.3014","0.3014","0.3014"
"1345","0.7476","0.7476","0.7476"
"1346","0.6943","0.6943","0.6943"
"1347","0.6012","0.6012","0.6012"
"1348","0.7496","0.7496","0.7496"
"1349","0.4595","0.4595","0.4595"
"1350","0.7944","0.7944","0.7944"
"1351","0.4628","0.4628","0.4628"
"1352","0.6311","0.6311","0.6311"
"1353","0.514","0.514","0.514"
"1354","0.8786","0.8786","0.8786"
"1355","0.5186","0.5186","0.5186"
"1356","0.5751","0.5751","0.5751"
"1357","0.6058","0.6058","0.6058"
"1358","0.6584","0.6584","0.6584"
"1359","0.7938","0.7938","0.7938"
"1360","0.5292","0.5292","0.5292"
"1361","0.7297","0.7297","0.7297"
"1362","0.4868","0.4868","0.4868"
"1363","0.5887","0.5887","0.5887"
"1364","0.6724","0.6724","0.6724"
"1365","0.6453","0.6453","0.6453"
"1366","0.4592","0.4592","0.4592"
"1367","0.692","0.692","0.692"
"1368","0.9523","0.9523","0.9523"
"1369","0.5804","0.5804","0.5804"
"1370","0.5255","0.5255","0.5255"
"1371","0.6042","0.6042","0.6042"
"1372","0.7544","0.7544","0.7544"
"1373","0.6373","0.6373","0.6373"
"1374","0.814","0.814","0.814"
"1375","0.4049","0.4049","0.4049"
"1376","0.5556","0.5556","0.5556"
"1377","0.7882","0.7882","0.7882"
"1378","0.6907","0.6907","0.6907"
"1379","0.6237","0.6237","0.6237"
"1380","0.7714","0.7714","0.7714"
"1381","0.4907","0.4907","0.4907"
"1382","0.6406","0.6406","0.6406"
"1383","0.3799","0.3799","0.3799"
"1384","0.6102","0.6102","0.6102"
"1385","0.5648","0.5648","0.5648"
"1386","0.4759","0.4759","0.4759"
"1387","0.6019","0.6019","0.6019"
"1388","0.5099","0.5099","0.5099"
"1389","0.7809","0.7809","0.7809"
"1390","0.5411","0.5411","0.5411"
"1391","0.6469","0.6469","0.6469"
"1392","0.7892","0.7892","0.7892"
"1393","0.5739","0.5739","0.5739"
"1394","0.7406","0.7406","0.7406"
"1395","0.5722","0.5722","0.5722"
"1396","0.7881","0.7881","0.7881"
"1397","0.7306","0.7306","0.7306"
"1398","0.5842","0.5842","0.5842"
"1399","0.7028","0.7028","0.7028"
"1400","0.6614","0.6614","0.6614"
"1401","0.811","0.811","0.811"
"1402","0.7659","0.7659","0.7659"
"1403","0.6355","0.6355","0.6355"
"1404","0.6493","0.6493","0.6493"
"1405","0.6293","0.6293","0.6293"
