"Step","train/loss","./SMOL_DPO_ALPHA_DIVERGENCE - train/loss__MIN","./SMOL_DPO_ALPHA_DIVERGENCE - train/loss__MAX"
"166","0.7607","0.7607","0.7607"
"167","0.6344","0.6344","0.6344"
"168","0.8242","0.8242","0.8242"
"169","0.4185","0.4185","0.4185"
"170","0.5574","0.5574","0.5574"
"171","0.8018","0.8018","0.8018"
"172","0.673","0.673","0.673"
"173","0.6052","0.6052","0.6052"
"174","0.7845","0.7845","0.7845"
"175","0.4882","0.4882","0.4882"
"176","0.6562","0.6562","0.6562"
"177","0.3747","0.3747","0.3747"
"178","0.595","0.595","0.595"
"179","0.5514","0.5514","0.5514"
"180","0.4789","0.4789","0.4789"
"181","0.6215","0.6215","0.6215"
"182","0.5161","0.5161","0.5161"
"183","0.7832","0.7832","0.7832"
"184","0.5518","0.5518","0.5518"
"185","0.6391","0.6391","0.6391"
"186","0.7924","0.7924","0.7924"
"187","0.5753","0.5753","0.5753"
"188","0.7222","0.7222","0.7222"
"189","0.5826","0.5826","0.5826"
"190","0.7729","0.7729","0.7729"
"191","0.7308","0.7308","0.7308"
"192","0.5827","0.5827","0.5827"
"193","0.6968","0.6968","0.6968"
"194","0.6627","0.6627","0.6627"
"195","0.8023","0.8023","0.8023"
"196","0.7777","0.7777","0.7777"
"197","0.6298","0.6298","0.6298"
"198","0.6483","0.6483","0.6483"
"199","0.6281","0.6281","0.6281"
"201","0.6931","0.6931","0.6931"
"202","0.6962","0.6962","0.6962"
"203","0.6838","0.6838","0.6838"
"204","0.7041","0.7041","0.7041"
"205","0.6902","0.6902","0.6902"
"206","0.6701","0.6701","0.6701"
"207","0.6559","0.6559","0.6559"
"208","0.6917","0.6917","0.6917"
"209","0.6986","0.6986","0.6986"
"210","0.686","0.686","0.686"
"211","0.6496","0.6496","0.6496"
"212","0.6584","0.6584","0.6584"
"213","0.6689","0.6689","0.6689"
"214","0.6487","0.6487","0.6487"
"215","0.6888","0.6888","0.6888"
"216","0.6863","0.6863","0.6863"
"217","0.7349","0.7349","0.7349"
"218","0.6467","0.6467","0.6467"
"219","0.6417","0.6417","0.6417"
"220","0.5987","0.5987","0.5987"
"221","0.5921","0.5921","0.5921"
"222","0.635","0.635","0.635"
"223","0.6717","0.6717","0.6717"
"224","0.6233","0.6233","0.6233"
"225","0.6685","0.6685","0.6685"
"226","0.5605","0.5605","0.5605"
"227","0.6258","0.6258","0.6258"
"228","0.5735","0.5735","0.5735"
"229","0.5889","0.5889","0.5889"
"230","0.634","0.634","0.634"
"231","0.725","0.725","0.725"
"232","0.5689","0.5689","0.5689"
"233","0.7362","0.7362","0.7362"
"234","0.6632","0.6632","0.6632"
"235","0.6452","0.6452","0.6452"
"236","0.589","0.589","0.589"
"237","0.854","0.854","0.854"
"238","0.6482","0.6482","0.6482"
"239","0.7004","0.7004","0.7004"
"240","0.7532","0.7532","0.7532"
"241","0.6422","0.6422","0.6422"
"242","0.8387","0.8387","0.8387"
"243","0.6369","0.6369","0.6369"
"244","0.7775","0.7775","0.7775"
"245","0.6492","0.6492","0.6492"
"246","0.6805","0.6805","0.6805"
"247","0.6359","0.6359","0.6359"
"248","0.6123","0.6123","0.6123"
"249","0.5608","0.5608","0.5608"
"250","0.6689","0.6689","0.6689"
"251","0.5859","0.5859","0.5859"
"252","0.7422","0.7422","0.7422"
"253","0.6567","0.6567","0.6567"
"254","0.6816","0.6816","0.6816"
"255","0.8068","0.8068","0.8068"
"256","0.7345","0.7345","0.7345"
"257","0.5069","0.5069","0.5069"
"258","0.567","0.567","0.567"
"259","0.7471","0.7471","0.7471"
"260","0.6196","0.6196","0.6196"
"261","0.5535","0.5535","0.5535"
"262","0.7686","0.7686","0.7686"
"263","0.5942","0.5942","0.5942"
"264","0.6039","0.6039","0.6039"
"265","0.7511","0.7511","0.7511"
"266","0.6324","0.6324","0.6324"
"267","0.5779","0.5779","0.5779"
"268","0.7207","0.7207","0.7207"
"269","0.7229","0.7229","0.7229"
"270","0.6197","0.6197","0.6197"
"271","0.6151","0.6151","0.6151"
"272","0.6973","0.6973","0.6973"
"273","0.5888","0.5888","0.5888"
"274","0.6437","0.6437","0.6437"
"275","0.7281","0.7281","0.7281"
"276","0.5427","0.5427","0.5427"
"277","0.6021","0.6021","0.6021"
"278","0.5909","0.5909","0.5909"
"279","0.4649","0.4649","0.4649"
"280","0.7157","0.7157","0.7157"
"281","0.7518","0.7518","0.7518"
"282","0.7734","0.7734","0.7734"
"283","0.8186","0.8186","0.8186"
"284","0.6604","0.6604","0.6604"
"285","0.5642","0.5642","0.5642"
"286","0.7345","0.7345","0.7345"
"287","0.5056","0.5056","0.5056"
"288","0.6826","0.6826","0.6826"
"289","0.6858","0.6858","0.6858"
"290","0.6651","0.6651","0.6651"
"291","0.6763","0.6763","0.6763"
"292","0.6368","0.6368","0.6368"
"293","0.6193","0.6193","0.6193"
"294","0.7116","0.7116","0.7116"
"295","0.5345","0.5345","0.5345"
"296","0.5331","0.5331","0.5331"
"297","0.7348","0.7348","0.7348"
"298","0.4923","0.4923","0.4923"
"299","0.6161","0.6161","0.6161"
"300","0.5649","0.5649","0.5649"
"301","0.5853","0.5853","0.5853"
"302","0.6831","0.6831","0.6831"
"303","0.5275","0.5275","0.5275"
"304","0.6715","0.6715","0.6715"
"305","0.8052","0.8052","0.8052"
"306","0.6113","0.6113","0.6113"
"307","0.4725","0.4725","0.4725"
"308","0.6365","0.6365","0.6365"
"309","0.637","0.637","0.637"
"310","0.5637","0.5637","0.5637"
"311","0.6571","0.6571","0.6571"
"312","0.6777","0.6777","0.6777"
"313","0.5461","0.5461","0.5461"
"314","0.6739","0.6739","0.6739"
"315","0.5819","0.5819","0.5819"
"316","0.6527","0.6527","0.6527"
"317","0.7338","0.7338","0.7338"
"318","0.5498","0.5498","0.5498"
"319","0.5738","0.5738","0.5738"
"320","0.7389","0.7389","0.7389"
"321","0.6284","0.6284","0.6284"
"322","0.6487","0.6487","0.6487"
"323","0.678","0.678","0.678"
"324","0.5081","0.5081","0.5081"
"325","0.582","0.582","0.582"
"326","0.5599","0.5599","0.5599"
"327","0.6602","0.6602","0.6602"
"328","0.7217","0.7217","0.7217"
"329","0.6784","0.6784","0.6784"
"330","0.5606","0.5606","0.5606"
"331","0.5681","0.5681","0.5681"
"332","0.6311","0.6311","0.6311"
"333","0.5239","0.5239","0.5239"
"334","0.63","0.63","0.63"
"335","0.7154","0.7154","0.7154"
"336","0.5127","0.5127","0.5127"
"337","0.703","0.703","0.703"
"338","0.5923","0.5923","0.5923"
"339","0.376","0.376","0.376"
"340","0.6851","0.6851","0.6851"
"341","0.7321","0.7321","0.7321"
"342","0.6024","0.6024","0.6024"
"343","0.6979","0.6979","0.6979"
"344","0.519","0.519","0.519"
"345","0.7409","0.7409","0.7409"
"346","0.479","0.479","0.479"
"347","0.6643","0.6643","0.6643"
"348","0.5418","0.5418","0.5418"
"349","0.8034","0.8034","0.8034"
"350","0.5262","0.5262","0.5262"
"351","0.5641","0.5641","0.5641"
"352","0.617","0.617","0.617"
"353","0.6177","0.6177","0.6177"
"354","0.7671","0.7671","0.7671"
"355","0.5238","0.5238","0.5238"
"356","0.662","0.662","0.662"
"357","0.5028","0.5028","0.5028"
"358","0.6274","0.6274","0.6274"
"359","0.6572","0.6572","0.6572"
"360","0.6384","0.6384","0.6384"
"361","0.4712","0.4712","0.4712"
"362","0.6872","0.6872","0.6872"
"363","0.8597","0.8597","0.8597"
"364","0.5693","0.5693","0.5693"
"365","0.5244","0.5244","0.5244"
"366","0.6113","0.6113","0.6113"
"367","0.7591","0.7591","0.7591"
"368","0.6243","0.6243","0.6243"
"369","0.7962","0.7962","0.7962"
"370","0.4171","0.4171","0.4171"
"371","0.5342","0.5342","0.5342"
"372","0.7101","0.7101","0.7101"
"373","0.6504","0.6504","0.6504"
"374","0.5827","0.5827","0.5827"
"375","0.6836","0.6836","0.6836"
"376","0.5017","0.5017","0.5017"
"377","0.6123","0.6123","0.6123"
"378","0.4156","0.4156","0.4156"
"379","0.6343","0.6343","0.6343"
"380","0.5909","0.5909","0.5909"
"381","0.5065","0.5065","0.5065"
"382","0.618","0.618","0.618"
"383","0.5325","0.5325","0.5325"
"384","0.7426","0.7426","0.7426"
"385","0.5527","0.5527","0.5527"
"386","0.5944","0.5944","0.5944"
"387","0.7173","0.7173","0.7173"
"388","0.5596","0.5596","0.5596"
"389","0.7338","0.7338","0.7338"
"390","0.5731","0.5731","0.5731"
"391","0.7269","0.7269","0.7269"
"392","0.679","0.679","0.679"
"393","0.6141","0.6141","0.6141"
"394","0.6158","0.6158","0.6158"
"395","0.6261","0.6261","0.6261"
"396","0.7073","0.7073","0.7073"
"397","0.7313","0.7313","0.7313"
"398","0.6171","0.6171","0.6171"
"399","0.6529","0.6529","0.6529"
"400","0.6055","0.6055","0.6055"
"402","0.6931","0.6931","0.6931"
"403","0.7552","0.7552","0.7552"
"404","0.8074","0.8074","0.8074"
