"Step","train/rewards/rejected","./SMOL_DPO_ALPHA_DIVERGENCE - train/rewards/rejected__MIN","./SMOL_DPO_ALPHA_DIVERGENCE - train/rewards/rejected__MAX"
"103","-0.9995772838592529","-0.9995772838592529","-0.9995772838592529"
"104","-1.2321367263793945","-1.2321367263793945","-1.2321367263793945"
"105","-1.4187536239624023","-1.4187536239624023","-1.4187536239624023"
"106","-1.8376435041427612","-1.8376435041427612","-1.8376435041427612"
"107","-1.66087806224823","-1.66087806224823","-1.66087806224823"
"108","-1.4148201942443848","-1.4148201942443848","-1.4148201942443848"
"109","-1.575439691543579","-1.575439691543579","-1.575439691543579"
"110","-1.0687345266342163","-1.0687345266342163","-1.0687345266342163"
"111","-1.2462668418884277","-1.2462668418884277","-1.2462668418884277"
"112","-1.5530654191970825","-1.5530654191970825","-1.5530654191970825"
"113","-1.6247154474258423","-1.6247154474258423","-1.6247154474258423"
"114","-1.538330316543579","-1.538330316543579","-1.538330316543579"
"115","-1.3596112728118896","-1.3596112728118896","-1.3596112728118896"
"116","-1.0833741426467896","-1.0833741426467896","-1.0833741426467896"
"117","-1.6100997924804688","-1.6100997924804688","-1.6100997924804688"
"118","-1.4844443798065186","-1.4844443798065186","-1.4844443798065186"
"119","-1.1914572715759277","-1.1914572715759277","-1.1914572715759277"
"120","-1.083420753479004","-1.083420753479004","-1.083420753479004"
"121","-1.2416472434997559","-1.2416472434997559","-1.2416472434997559"
"122","-1.0438659191131592","-1.0438659191131592","-1.0438659191131592"
"123","-1.4156290292739868","-1.4156290292739868","-1.4156290292739868"
"124","-1.4823193550109863","-1.4823193550109863","-1.4823193550109863"
"125","-1.4244751930236816","-1.4244751930236816","-1.4244751930236816"
"126","-1.7423923015594482","-1.7423923015594482","-1.7423923015594482"
"127","-1.2529592514038086","-1.2529592514038086","-1.2529592514038086"
"128","-1.176616907119751","-1.176616907119751","-1.176616907119751"
"129","-0.9608896970748901","-0.9608896970748901","-0.9608896970748901"
"130","-1.3760085105895996","-1.3760085105895996","-1.3760085105895996"
"131","-1.023302435874939","-1.023302435874939","-1.023302435874939"
"132","-1.4979714155197144","-1.4979714155197144","-1.4979714155197144"
"133","-1.4878201484680176","-1.4878201484680176","-1.4878201484680176"
"134","-1.2623052597045898","-1.2623052597045898","-1.2623052597045898"
"135","-1.2483018636703491","-1.2483018636703491","-1.2483018636703491"
"136","-1.2222411632537842","-1.2222411632537842","-1.2222411632537842"
"137","-1.3363244533538818","-1.3363244533538818","-1.3363244533538818"
"138","-1.9312255382537842","-1.9312255382537842","-1.9312255382537842"
"139","-1.326716661453247","-1.326716661453247","-1.326716661453247"
"140","-1.2769891023635864","-1.2769891023635864","-1.2769891023635864"
"141","-1.5817551612854004","-1.5817551612854004","-1.5817551612854004"
"142","-1.1272960901260376","-1.1272960901260376","-1.1272960901260376"
"143","-1.4230999946594238","-1.4230999946594238","-1.4230999946594238"
"144","-1.1781679391860962","-1.1781679391860962","-1.1781679391860962"
"145","-1.6291195154190063","-1.6291195154190063","-1.6291195154190063"
"146","-1.2481842041015625","-1.2481842041015625","-1.2481842041015625"
"147","-1.4251459836959839","-1.4251459836959839","-1.4251459836959839"
"148","-1.4244498014450073","-1.4244498014450073","-1.4244498014450073"
"149","-1.5939388275146484","-1.5939388275146484","-1.5939388275146484"
